text,RESTAURANT#GENERAL,RESTAURANT#PRICES,RESTAURANT#MISCELLANEOUS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,AMBIENCE#GENERAL,SERVICE#GENERAL,LOCATION#GENERAL
ngon tuyệt_vời luôn,0,0,0,0,1,0,0,0,0,0,0,0
"ở quán cơm chay thuyền_viên . chỉ một từ thôi ngon heart with arow tích_cực vẫn rất giòn dù lúc tớ là giờ tối , ăn rất ngon , mùi lại thơm nữa . nêm vừa ăn , ăn chung tương_ớt rất ngon không có tương xí muội giá ok giá cuốn .",0,0,0,1,1,0,0,0,0,0,0,0
"ở quảng , tên mấy tiệm mì quảng thường đặt tên theo người nấu ra nó , vậy nên thấy cái mì quảng_bà dzũ đã cảm được chất của đà_nẵng ngay từ cái nhìn đầu_tiên rồi . ngoài mì quảng , quán còn rất nhiều món quảng rất ngon như bún cá cam , bún_bò đà_nẵng chỉ xài thịt bò , không có giò , bún mắm_nêm , chè đậu_ngự . quán do anh người quảng rất quảng nên món cũng rất quảng . đặt cái tên dễ làm người_ta nao lòng , tô bé đẹp , tô bé cưng , cà_phê tình mê , bún mắm tình đắm . nhìn mà phì_cười . quán rất thoáng mát , nếu đang vội , đừng tới đây ăn , mà hãy chờ lúc_nào thong_thả . quán gì đó muốn quên cũng khó .",1,0,0,0,1,1,0,0,0,1,0,0
"quán tên là cơm chay thuyền_viên . ăn rất ổn , mùi thơm , rau cải giòn , mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn . bị cái nước tương hơi dở . nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu tích_cực giá cũng được giá đĩa ở đây còn bán rất nhiều món chay khác như cơm , phở , hủ_tiếu , bún thái , các món ăn vặt chay , phụ_liệu nấu đồ chay . ăn rất ổn .",0,0,0,1,2,1,0,0,0,0,0,0
"quán trong hẻm nhưng ngay đường nguyễn cư trinh nên cực_kì dễ tìm đồ ăn đa_dạng , ngon nhất vẫn là nem nướng giá_cả hợp_lý nhân_viên phục_vụ nhiệt_tình nhất_định sẽ quay lại nè",1,0,0,1,1,1,0,0,0,0,1,1
"quá gyu bef giá g x g at minimum for đặt_hàng nhen . mình ăn medrare sauce chi . đầu_tiên trong menu giá sauce ớt chuông rau . với ol yêu oil sauce blue chese béo ngon hình_như giá , hơi nhẫn đắng chese mặn đút lò ngon . tên món quên òi . winking face with tongue winking face with tongue hong nhớ giá luôn . ngon thơm . salad a . không nhớ tên . cỡ nhỏ giá . rau cải ngựa và hành khoanh , chese , sốt_hành . nồng khó ăn .",0,0,0,2,2,0,0,0,0,0,0,0
"đi vô đường chấn_hưng xiú là quán bún thịt nướng hải_đăng nổi_tiếng hơn hẳn . có nhiều quán lắm nha quán thuộc dạng bình_dân , sân_nhà rộng , giữ xe miễn_phí . phần đầy_đủ là giá , chả_giò , thịt nướng , nem , có xô nước_mắm inox trên mỗi bàn lun , muốn ăn bao_nhiêu thì múc tích_cực có_thể gọi thêm dĩa bún thêm dành cho ạ ra_sức ăn mặn ăn được , phục_vụ nhanh gọn , có_điều không nóng_hổi , do làm sẵn chuẩn_bị trước . hotgirl tính tiền tích_cực",1,0,1,1,1,2,0,0,0,1,1,2
"quán ngay khu trung_tâm , khá đông , nhất vào giờ ăn trưa , phải bok chỗ trước . phần như hình là bánh_tráng phơi sương thịt giò giá phần thì là giá dọn kèm bánh_tráng phơi sương dẻo , rau rừng tươi xanh , dĩa đồ chua , nước_mắm , mắm_nêm . ngoài_ra quán còn cọ món tủ là bánh_canh giá , cháo sò lông cái này mình chưa ăn nhưng thấy ai vô cũng gọi hết . còn có chè khúc bạch không_thể không nhắc ở ht . trà đá giá ly khăn lạnh_giá quán nhiều khách , nhưng nhân ciên vô_cùng niềm_nở , dễ_thương nha không thích là tính tiền giữ xe giá thoai tiêu_cực",0,0,3,2,0,1,0,0,1,0,1,1
"trong hình là gà bó xôi truyền_thống giá xôi thơm dẻo , bên ngoài giòn_rụm . gà dai dai ướp thấm gia_vị . order trước tiếng là giao tới nhà liền , nóng_hổi trong hộp . bao_bì , hộp đựng sạch_sẽ , chắc_chắn , được thêm bao_tay nilong để xé gà nữa . tích_cực nhân_viên chuyên_nghiệp , dễ_thương . order trên website để tham_khảo thêm menu . nhà mình đặt con gà , súp , bò hầm tiêu , gỏi củ hủ dừa hơn triệu xíu mà người ăn còn dư luôn nha . bò hầm tiêu xanh ngon lắm lắm , gỏi củ hủ dừa hơi ngọt xíu theo khẩu_vị miền nam , súp đậm_đà có thịt , nấm , trứng cút nhiều lắm . lần sau là thử thêm nhiều món khác nữa nè hie hietích cực face with tongue tích_cực",1,0,0,1,1,1,0,0,0,0,1,0
"vị_trí quán nằm ngay mặt tiền_đường sư vạn hạnh khá dễ tìm . đồ ăn bánh_bèo , bánh bột lọc , bánh_nậm , bánh_ít ram , nem huế , chả huế các loại . bánh thơm , ngon , có điều nước_mắm hơi ngọt . giá_cả giá mâm bánh_bèo chén . dĩa thì giá_như hình chưa có nem , chả . không_gian quán bình_dân , hơi chật , trời này mà ngồi hơi bị nóng , quán đông , hay bị thiếu bàn . không có ai coi xe .",0,0,3,2,2,1,0,0,0,3,0,1
". bên ngoài giòn giòn ăn cực thích . bên trong cơm nhật với dưa_leo , trứng , thanh cua mềm rất tuyệt",0,0,0,0,1,0,0,0,0,0,0,0
. cấp_độ đã đủ sức chịu_đựng của mình . ăn vừa nóng vừa cay cay mà toát hết mồ_hôi hột crying face crying face vừa khẩu_vị của mỗi người . không_gian có phần hơi chật nhưng thoáng và trang_trí đẹp theo phong_cách hường cuốc,0,0,0,0,1,0,0,0,0,2,0,0
". gà rán giòn ướp vị chua_cay rất ngon , bánh ăn kèm giòn và thơm mùi bơ",0,0,0,0,1,1,0,0,0,0,0,0
. lần đầu ăn_ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn_ở đây sẽ no căng luôn,0,0,0,0,1,1,0,0,0,0,0,0
. lần đầu ăn_ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn_ở đây sẽ no căng luôn tích_cực tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn .,0,0,0,1,1,1,0,0,0,0,0,0
". mì cay hàn quốc êi tích_cực . mì dai nah tích_cực . nhiều hải_sản nah tích_cực tôm , mực . . nước_dùng bao cay nah tích cựctích cực . đáng đồng_tiền lúm nha_tích cựctích cực . phục_vụ nhiệt_tình chery blosom . giá_cả hợp_lí neh",0,0,0,1,1,1,0,0,0,0,1,0
". mì hến bắc hà . nước hến ngon một_số chỗ có dùng bột_ngọt cho nào nước mì làm mất đi vị ngọt tự_nhiên của hến , không quá cay như bên mì hến ngô văn sở . quán mát , rộng_rãi smiling face with smiling eyes",0,0,0,0,1,0,0,0,0,1,0,0
". xem qua chương_trình ẩm_thực của nghệ_sĩ việt hương mình biết được quán này . mình đi buổi tối quán động cực_kì chỗ ngồi san_sát nhau , vì số_lượng khách động nên việc ngồi chờ món lâu hơn . face with steam from nose . vỏ bánh_tráng mềm dai , bánh nóng nên ăn_liền sẽ ngon hơn face savoring fod",1,0,0,0,1,0,0,0,0,0,3,0
"phở cuốn khá chắc , nhân nhiều , nước_chấm ngon , người ăn phần là vừa , không no mấy . bánh_phở hơi cứng , không dai . trong loại mình thích pc nem hơn , nem nướng đậm vị , dùng với thêm nước_chấm là tuyệt pc nem giá pc tôm thịt giá p",0,0,0,2,2,1,0,0,0,0,0,0
"bánh_cuốn tây hồ chất_lượng tuyệt_vời địa_chỉ đinh tiên hoàng , đa kao , q . quán này nằm trên đường đinh tiên hoàng cũng đã rất lâu nổi_tiếng , nên chắc bạn nào mê bánh_cuốn cũng đã từng dùng bánh_cuốn tại đâystarstarstar về không_gian không_gian quán hơi nhỏ , nhiều khi vào giờ cao_điểm , khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi tiêu cựcvà không có máy_lạnh , chỉ có quạt_máy nên cũng hơi nóng chútstarstarstar về thức_ăn phần bánh_cuốn tuy không nhiều , nhưng vừa đủ no cực_kì chất_lượng , chất_lượng từ hình_thức đến mùi_vị hình_thức trang_trí bắt_mắt mùi_vị đậm_đà với chả_quế chả lụastarstarstar về cung_cách phục vụcó thể nói ở đây nhân_viên phục_vụ cũng khá chiều khách , tận_tình starstarstar về giá_cả có vẻ hơi đắt , nhưng mà tiền nào của nấy , bánh_cuốn ở đây đã nổi_tiếng từ lâu_đời , nên chuyện giá đắt như_vậy cũng chấp_nhận được tích_cực nói_chung là nên dùng thử bánh_cuốn tại đây , các bạn sẽ ghiền đấy",1,0,0,2,1,1,0,0,0,3,1,2
"bánh_đa trộn b t nghĩa tân điểm khác với mọi chỗ mình ăn là bât bưng ra nóng_hổi , kiểu ăn luôn và ngay mới ngon . vắt tầm quả quất mới đáp_ứng độ chua của mình . bánh_đa mềm mà vẫn dai , giò tai cắt miếng to ăn giòn giòn , miếng chả cá hơi còi_cọc . ở đây hơi giống phùng hưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì_dầu nhégiá bát đầy_đặn , nước_dùng khá thơm dậy_mùi cua . giá trà đá , nghìn_cốc",0,0,0,1,1,2,2,0,0,0,0,0
"mete . co đang khuyến_mãi combo mì udon hải_sản với bánh mochi chỉ giá . mì udon ở đây hơi ít được khoảng nước_dùng nấu sệt sệt , đậm mùi hải_sản , có vị cay khá ít nên phù_hợp với những ng không thi ch ăn cay nhiều như mình . tô mì khá chất_lượng có hẳn con ghẹ to luôn o . o cơ_mà con ghẹ mình ăn hơi ít thịt . tô mì vừa được nấu , ăn nóng_hổi . quán đi tối hơi bị đông đấy . đi trưa như mình vắng cho khỏe . bánh mochi ăn oke . quán có bán sushi giá cũng khá ok cho sinh_viên nữa",0,0,0,1,1,2,0,0,0,0,0,0
"metesaigon đang có khuyến_mãi mua gà trái_tim giá được tặng món đồng giá hoặc thấp hơn kising face with closed eyes kising face with closed eyes gà ở đây cũng làm theo style gà đài loan giống của opa chicken nhưng so_sánh thì vị bên đây đậm_đà ăn thích hơn . gà nóng_hổi nên lớp da cắn vào giòn_rụm . gà trái_tim chủ_yếu là từ phần thịt ức gà thường ăn sẽ khô , bở nhưng ở đây thịt vẫn rất mềm và dai . gà viên giá gia_vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình không thích lắm tiêu_cực . bánh_khoai_tây giá vì được ướp hẳn gia_vị vào trong nên rất ngon tiếc là khoai_tây hơi bị bở tiêu_cực . trà bí_đao uống ngọt thanh rất thích_hợp để giải_nhiệt sau khi ăn đống đồ chiên này face with roling eyes điểm trừ của quán là không có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán tiêu_cực . giá_cả rất sinh_viên giá cho quán ở q . như thế này .",0,1,0,1,1,2,0,1,0,0,0,1
"star cập_nhật giá frog phần con cháo . phần con cháo . phần con cháo . star có nước sâm giá , nước_ngọt tuỳ loại , trà đá giá r nhắn_tin on quán lề_đường , sạch_sẽ , nấu ếch tại_chỗ cho khách xem . nhưng phụ vụ hơi lâu , gọi tính tiền cũng lâu nữa disapointed face r nhắn_tin on ăn được . ngon",0,0,0,2,1,1,2,0,1,2,3,0
"star quán nằm ngay mặt tiền_đường kì đồng quận , cực_kì dễ kiếmstar quán có không_gian rộng_rãi với lầu và trệtstar món đặc_trưng ở đây là bún_bò , siêu ngon và đúng chuẩn bún_bò huế",0,0,0,0,1,1,0,0,0,1,0,1
"tag khác nhau , cơ_mà nhìn kiểu nào cũng ngon không_tưởng .",0,0,0,0,1,1,0,0,0,0,0,0
"tag phở thìn quá nổi_tiếng rồi . từ sáng sớm đến tối muộn lúc_nào cũng nườm_nượp khách . chỉ có tái lăn . vị thịt bò xào và nước_dùng đặc_biệt , không lẫn đi đâu được . siêu nhiều thịt bò . vừa no vừa ngon .",1,0,0,0,1,1,0,0,0,0,0,0
"tag cho bữa sáng . tân_sanh hoạt ở ntmk . quán bình_dân nhưng giá nhà_hàng tích_cực phần này ng mà giá giá . lúc tính tiền có tí choáng tích_cực không dở nhưng cũng không xuất_sắc , không xứng với số tiền bỏ ra .",0,3,0,3,2,0,0,0,0,2,0,2
"tagtag này là tô lớn giá ăn_vậy với rau thôi không có bánh_tráng như quán nào đó mình từng ăn . thật_ra thấy vậy cũng vừa_rồi quán do cô này ở quảng_ngãi vô bán , mọi người hiền lắm tích_cực có_ăn thêm don giá nữa mà quên chụp tích_cực à bàn có cả grencros để rửa tay nữa",0,0,0,2,0,2,0,0,0,1,1,0
tag tag tag tag đây là nước lẩu shabu và miso nha ở đây nhân_viên cho điểm,0,0,0,0,0,1,0,0,0,0,1,0
tag tag tag chả ngon,0,0,0,0,3,0,0,0,0,0,0,0
tag tag tag tag ngon bổ rẻ . khuyết là_hơi xa trung_tâm,0,0,0,1,1,0,0,0,0,0,0,3
"tag tag nhon , mà rẻ nữa tích_cực nhiều thịt vì mình không thic ăn cá , có cả rau_sống và bún . nc chấm thì có gừng và lá chanh ớt tích_cực",0,0,0,1,1,1,0,0,0,0,0,0
tag ăn quên cả lối về tag,0,0,0,0,1,0,0,0,0,0,0,0
tagtagtag cảm_ăn vào đỡ nhiều tag món luôn toẹt vời,0,0,0,0,1,1,0,0,0,0,0,0
"tagtag tag tag . tết_nhất nên chỗ nào cũng đông , chỗ này đông_nghẹt người . về lẩu thì nước_dùng ngon , hải_sản ăn kèm khá ít cho giá giá .",0,0,0,3,1,3,0,0,0,0,0,0
"tag tag tag vừa ngon vừa rẻ , đứa ăn xong mà muốn lăn về nhà luôn cho nó lẹ chứ đi hổng có nổi luôn tích_cực quán chuyên về các món đặc_trưng của đất_nước xứ kim chi và cơm trộn hàn quốc thân_yêu , vì là các dành cho lứa học_sinh sinh_viên của bọn mình nên giá_cả khá là mềm . ngoài các vị thượng đế học_sinh sinh_viên ra thì quán cũng thuộc list những quán phải tới của giới văn_phòng . không_gian thì trẻ_trung thoáng mát , phù_hợp cho hội nhóm gặp_mặt bạn_bè , còn thực_đơn lại phong_phú giá_cả vừa_phải mà_lại còn ngon ngon nữa x",1,0,0,1,1,1,0,0,0,1,0,0
"tag tag lần đầu_tiên mình ăn móng này luôn , cảm_giác lạ lắm . khi chú chủ quán mang nồi lẩu ra thì mình hơi bất_ngờ vì nồi lẩu chỉ toàn là . lá quế , ớt và thịt gà o thịt gà trong lẩu là thịt gà đá nên khá là dai , mình phải nhai nhai mãi mới đứt í tiêu_cực nhưng được cái bù lại là nước_lèo khá là ngon , chua chua_cay cay như kiểu lẩu thái í . trông nồi lẩu ớt ớt thế thôi chứ ăn cũng không cay lắm đâu mà nước còn hơi ngọt ngọt nữa . cái lạ nữa là lẩu chỉ cần ăn với . lá quế thôi chứ chả cần thêm rau_cỏ gì khác nữa . nói_chung là mình chấm món này . điểm đó đi nhiều nhiều mò nhiều quán kiếm được nhiều món lạ gê",0,0,0,0,2,2,0,0,0,0,0,0
"tag tag lần đầu_tiên mình ăn_ở đây là được người bạn mình quan_tâm dẫn tới ăn , ta nói nó vừa ngon mà_lại vừa siêu no luôn p miếng thịt bò siêu bự nè , nui xào hơi được giòn một_tí nên ăn thích lắm , tặng thêm điểm cộng cho món này vì rau khá là nhiều và mình thì rất thích ăn rau nhiều tí tuy giá có hơi cao hơn so với các quán khác nhưng được rất nhiều bò và ăn siêu thích luôn y",0,0,0,2,1,1,0,0,0,0,0,0
"tag tag sườn heo non , thịt khá dai nhưng bù lại được tẩm ướp các gia_vị khá là kĩ_lưỡng . khi ăn thì thấy có vị cay cay the the của gia_vị sả nhưng khi ướp thì lại không có sả , khó hiểu gê tiêu_cực nói_chung là hôm nào trời mưa mà đi nhậu , ăn món này ngon quá trời luôn p",0,0,0,0,1,0,0,0,0,0,0,0
"tag tag trời mưa lạnh như hôm_nay thì phải ăn đồ nướng cay cay nó mới đã . cho_nên tớ xin giới_thiệu với các cậu món cánh_gà nướng sốt siêu cay blazing , đảm_bảo siêu cay , cay chảy nước_mắt luôn phần cái cánh_gà được tẩm ướp mặn mặn , ăn kèm với sốt ớt cay được làm từ sate và ớt tươi , đảm_bảo là cay xé họng thực_khách luôn p nhưng mà nói cay_vậy chứ món này ăn ngon miễn chê luôn nha , thịt cánh_gà mềm mềm hơi mỡ tẹo , tuy là cánh_gà nướng nhưng thịt gà vẫn còn mềm chứ không có bị khô đâu nha , ướp và sốt chung với ớt và sate . cái lạ là khi ăn miếng đầu_tiên thì bạn sẽ cảm_thấy nó chỉ hơi cay cay the the thôi , nhưng càng ăn thì độ cay nó sẽ tăng dần lên , kích_thích lắm nha ngoài_ra sốt ăn kèm có mức cay tăng dần bq , fish sauce , gabay , satay , bufalo và blazing , phù_hợp với khẩu_vị của từng thực_khách",0,0,0,0,1,1,0,0,0,0,0,0
"tag tag bạch tuột nướng cũng siêu tươi luôn , đã . d",0,0,0,0,1,0,0,0,0,0,0,0
tag ngon mê_ly d,0,0,0,0,1,0,0,0,0,0,0,0
"tag cơm tấm sườn chả giá cơm tấm đúng là cơm tấm chứ không phải trá_hình_như nhiều chỗ khác , mỡ hành hơi ít , thịt sườn lớn , dày , chả mềm và có trứng muối khá ngon , không quá bở và mặn như những chỗ khác , nước_mắm cũng ok , phần đồ xào kèm theo không bị nấu qua_loa . nói_chung là không uổng giá . tuy_nhiên có một_số góp_ý nhỏ , tại mình khó_tính thôi , cơm nên khô hơn , mỡ hành thơm và nhiều hơn , sườn nóng và ướp nồng hơn , chả ngon , nhưng nếu mặt chả mịn hơn thì sẽ hấp_dẫn hơn . trà tắc fre đặc_biệt thứ đến thứ , uống rất đã . còn t cn thì fre trà đábonus fre cơm thêm , nếu ăn bì thì bì làm từ thịt nạc chứ không mỡ nha ngoài_ra còn có những món thịt , cá , đậu hủ khác , thấy nhiều người ăn và nhìn cũng khá nhiều và hấp_dẫn chứ không lèo_tèo hay bị quá_lửa như mấy chỗ cơm_hộp giá . quán có ngồi bên ngoài và trong nhà , lúc_nào cũng đông nhưng không_gian khá thoáng , phục_vụ nhanh nên mình có_thể châm_chước cho việc đồ ăn_không nóng như mong_đợi .",0,0,0,1,1,2,1,1,1,1,1,0
"tag quán này khá là thân_thuộc đối_với các bạn fans của các nhóm nhạc thần_tượng hq như su gì u , bigbang , blah blah . giá bình_thường nhưng đồ ăn lại khá ngon , là một trong những quán mình đánh_giá cao_độ ngon của món tokb ok có_thể gọi thêm mì ramen hoặc không , nhưng của mình là có thêm mì remen hen , còn không có mì ramen thì là . phần . ăn khá là no nè p",1,1,0,1,1,0,0,0,0,0,0,0
"tag tag mắc cười nhất là cả đám đi ăn ốc , cơ_mà quán lạ ngu quá không chịu hỏi giá , mới ăn lưng bụng thì kêu tính tiền vì sợ đắt , ai_ngờ có giá dĩa thôi , siêu_đao lòng . slepy face",0,0,0,1,1,0,0,0,0,0,0,0
"tag tag xiên nướng đồng giá chỉ giá hoy mà đa_dạng lớm . ở đây có mề_gà nướng , chân gà nướng , bò cuộn phô ma , bạch tuột , răng mực , cá kèo , cá trứng . v . v lại có cả lẩu . thích nhất là bạch tuột ở đây , ướp đều mà cay cay đậm_đà giòn tươi . với cả mề_gà cũng ướp đậm ăn thích lớm . giá_cả vừa túi_tiền mà đồ ăn không quá ít thì ok quá dòy",0,0,0,1,1,1,0,0,0,0,0,0
tag ăn cơm với xiên nướng cũng thú_vị ghê .,0,0,0,0,1,0,0,0,0,0,0,0
"tag ăn_ở đây cả trăm lần nhưng bây_giờ mới review . thật mừng khi ti ti mở gần nhà mình , đỡ tốn công đi xa . chắc vì lấy tên steak gấu nên ít ai biết , khách không đông như những chỗ khác . khỏi chờ_đợi , chen_lấn xếp_hàng , khỏe re .",1,0,3,0,0,0,0,0,0,0,0,1
"tag bắp bò thái to , gân cũng đồ_sộ cuộn chung với rau_sống chấm mắm_nêm thì ngon_lành . thịt bò mềm , không bị dai . gân bò giòn giòn dễ ăn , chấm mắm_nêm thật là truyền_thống luôn",0,0,0,0,1,1,0,0,0,0,0,0
"tag bò lá_lốt nhìn hấp_dẫn , ăn cũng ổn . quán nhỏ nhưng sạch_sẽ",0,0,1,1,0,1,0,0,0,3,0,0
"tag cơm hến ở đây là tuyệt nhất mà mình từng ăn luôn . hến cả đống to béo , đầy thịt , tóp_mỡ cũng giày cộm , có đậu_phộng rang . v . v . ngon ở chổ khi trộng hến đều với các nguyên_liệu trong cơm , thì đậm_đà , thơm mùi hến , hơi cay cay kiểu ớt , ăn thích cực . đã vậy còn có thêm chén nước hến , nóng_hổi , ngọt vị thịt hến ra chứ không kiểu mì_chính . tuy hơi đắt nhưng ăn rất ngon face blowing a kis",0,0,0,3,1,1,0,0,0,0,0,0
"tag con mực này nhìn nhỏ vậy thôi chứ to lắm , cắn phát đã lắm , cơ_mà , con thì chắc là còn đã hơn . tag",0,0,0,0,1,1,0,0,0,0,0,0
"tag được ướp khá đậm_đà , cơ_mà không thích ăn cái gì nhìu xương nên mình chỉ ăn cái cho zui thôi . d",0,0,0,0,1,0,0,0,0,0,0,0
"tag lần nào ăn_ở đây xong về cũng no vật_vã , sườn ướp rất đều , vừa_miệng và quan_trọng hơn là rất to . tag",0,0,0,0,1,1,0,0,0,0,0,0
"tag món chủ_đạo của quán vẫn là món phở , mà có sự kết_hợp công_thức với mì udon truyền_thống của nhật bản , nên cho ra_đời nhìu loại khác nhau",0,0,0,0,0,1,0,0,0,0,0,0
"tag nhiêu đây mà chỉ có_giá thôi ấy , đi với bạn_bè hay người_yêu dễ share tiền , hị hị",0,0,0,1,0,0,0,0,0,0,0,0
tag sự kết_hợp đặc_biệt từ bánh oreo béo ngậy cùng đậu_phộng giòn giòn bùi bùi . miễn chê luôn nhé,0,0,0,0,1,1,0,0,0,0,0,0
"tag sườn to quá xá ăn còn có trà tắc miễn_phí , trong phòng máy_lạnh , ngay trung_tâm quận mà giá chỉ giá thôi nha .",0,0,0,1,0,1,1,0,0,1,0,1
tag thịt xiên nướng đồng giá giá cơ_mà ăn không quá ít . face blowing a kis face blowing a kis face blowing a kis quán ngồi siêu mát_mẻ luôn .,0,0,0,1,0,2,0,0,0,1,0,0
"tag thơm_lừng , đánh_thức các giác_quan . tích_cực",0,0,0,0,1,0,0,0,0,0,0,0
"tag khô nhưng thật_ra cọng như hủ_tiếu khô vậy đó . được cái nhiều thịt bằm , nêm nếm trong tô phở khô sẵn nên ăn vừa_miệng . ăn cùng nước_dùng tái , bò viên nhiều mà đậm_đà không kém . hẳn là một bữa ăn sáng ngon_lành",0,0,0,0,1,1,0,0,0,0,0,0
tag mi nh mê ăn ba nh cuô n no ng va trư ng hâ p ntn tích cựctích cực . tâ t ca hê t giá thôi nha_tag,0,1,0,0,1,0,0,0,0,0,0,0
"tag lắm luôn , món udon dành cho những bạn thích udon mặn và cay",0,0,0,0,1,0,0,0,0,0,0,0
"tag hơi bé so với các quán bình_thường thì phải , ăn cx ổn",0,0,0,0,2,0,0,0,0,3,0,0
